Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-01	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Runs From	Nut in mouth, very fast moving	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-02	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-03	Black	Black	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-04	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-05	Gray	Gray	NA	Ground Plane	NA	NA	Running	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-06	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-07	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-08	Gray	Gray	NA	Above Ground	20	NA	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-09	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-10	Gray	Gray	NA	Above Ground	30	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-11	Gray	Gray	NA	Above Ground	30	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-12	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-13	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-14	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	NA	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-15	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down tree)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-16	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down tree)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-17	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-18	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
