Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-01	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	Sun	40.730703	-73.995821
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-02	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.730638	-73.995784
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-03	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.730528	-73.995891
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-04	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.730394	-73.996009
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-05	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.730341	-73.996052
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-06	Gray	NA	NA	NA	NA	NA	NA	Indifferent	People eating at bench with dog	40.7303	-73.996106
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-07	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.730247	-73.996175
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-08	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.730231	-73.996138
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-09	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.730223	-73.996132
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-10	Gray	NA	NA	NA	NA	NA	NA	Indifferent	Shady	40.730077	-73.996277
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-11	Gray	Gray	NA	Above Ground	20	NA	Nesting	Indifferent	In squirrel house (pic). Someone is trying to feed squirrel in house.	NA	NA
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-12	Gray	Gray	NA	Above Ground	25	NA	Climbing	Indifferent	NA	NA	NA
