Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
LOWER MANHATTAN	C	Battery Park	20	C-20-01	Gray	Cinnamon	NA	Above Ground	5	NA	NA	Interested in	5 all together being fed by humans	40.704053	-74.01612
LOWER MANHATTAN	C	Battery Park	20	C-20-02	Gray	Cinnamon, White	NA	Specific Location	NA	on fencing	Climbing, Balancing on fencing	NA	5 all together being fed by humans - Hungry	40.704011	-74.016134
LOWER MANHATTAN	C	Battery Park	20	C-20-03	Gray	Cinnamon, White	NA	Ground Plane	NA	NA	NA	Indifferent	5 all together being fed by humans, Had a ton of leaves in his mouth for several minutes	40.703897	-74.016118
LOWER MANHATTAN	C	Battery Park	20	C-20-04	NA	NA	NA	Ground Plane	NA	NA	NA	Cautious of	5 all together being fed by humans	40.703885	-74.016161
LOWER MANHATTAN	C	Battery Park	20	C-20-05	Gray	Cinnamon, White	NA	Specific Location	NA	on fencing	NA	NA	5 all together being fed by humans	40.703848	-74.016134
LOWER MANHATTAN	C	Battery Park	20	C-20-06	Cinnamon	Gray, White	NA	Ground Plane	NA	NA	Chillin', Rubbing butt on ground	NA	Seems left out	40.703882	-74.015955
LOWER MANHATTAN	C	Battery Park	20	C-20-07	Cinnamon	White	NA	Ground Plane	NA	NA	Running	Runs From	NA	40.704211	-74.015859
LOWER MANHATTAN	C	Battery Park	20	C-20-08	Gray	White	NA	Ground Plane	NA	NA	Foraging	NA	Obviously a couple with #9	40.704142	-74.015837
LOWER MANHATTAN	C	Battery Park	20	C-20-09	Gray	White	NA	Ground Plane	NA	NA	Foraging	NA	Obviously a couple with #8	40.704175	-74.015306
LOWER MANHATTAN	C	Battery Park	20	C-20-10	Gray	Cinnamon, White	NA	Ground Plane	NA	NA	Running	Indifferent	Skinny with tiny ears	40.704171	-74.015242
LOWER MANHATTAN	C	Battery Park	20	C-20-11	Gray	White	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.704468	-74.014774
LOWER MANHATTAN	C	Battery Park	20	C-20-12	Gray	White	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.704453	-74.014757
LOWER MANHATTAN	C	Battery Park	20	C-20-13	Gray	White	NA	Ground Plane	NA	NA	Eating	Indifferent	NA	40.70442	-74.014741
LOWER MANHATTAN	C	Battery Park	20	C-20-14	Gray	Cinnamon	NA	Above Ground, Specific Location	10	in tree	Sticking out of a tree	Indifferent	NA	40.704188	-74.014853
LOWER MANHATTAN	C	Battery Park	20	C-20-15	Gray	White	White bellies	NA	NA	NA	Chasing	NA	Flirty, chasing #16, also eating urban farm debris	40.70352	-74.015273
LOWER MANHATTAN	C	Battery Park	20	C-20-16	Gray	White	White bellies	NA	NA	NA	Chasing	NA	Flirty, being chased by #15, also eating urban farm debris	40.703487	-74.015278
LOWER MANHATTAN	C	Battery Park	20	C-20-17	Gray	White	NA	NA	NA	NA	Hangin' with #13 & #14	NA	NA	40.703989	-74.015202
LOWER MANHATTAN	C	Battery Park	20	C-20-18	Gray	NA	NA	Ground Plane	NA	NA	NA	NA	Looks like he has a patch of fur missing on his back	40.703383	-74.015584
LOWER MANHATTAN	C	Battery Park	20	C-20-19	Gray	Cinnamon	NA	Above Ground	2	NA	Climbing (tree)	NA	NA	40.70295	-74.015813
LOWER MANHATTAN	C	Battery Park	20	C-20-20	Cinnamon	NA	NA	Ground Plane	NA	NA	NA	NA	NA	40.702934	-74.015775
LOWER MANHATTAN	C	Battery Park	20	C-20-21	Gray	White	NA	Above Ground, Specific Location	20	in a tree	Snacking in a tree	NA	NA	40.702922	-74.016629
LOWER MANHATTAN	C	Battery Park	20	C-20-22	Cinnamon	NA	NA	Specific Location	NA	on a bench	NA	NA	NA	40.702411	-74.015896
LOWER MANHATTAN	C	Battery Park	20	C-20-23	Gray	NA	NA	NA	NA	NA	Prancing about	NA	NA	40.702313	-74.015644
LOWER MANHATTAN	C	Battery Park	20	C-20-24	Gray	Cinnamon	NA	Specific Location	NA	on fence	Climbing fence	NA	NA	40.702467	-74.015757
LOWER MANHATTAN	C	Battery Park	20	C-20-25	Gray	Cinnamon	NA	Above Ground, Specific Location	15	in a tree	NA	NA	NA	40.702597	-74.016132
LOWER MANHATTAN	C	Battery Park	20	C-20-26	Gray	Cinnamon	NA	Specific Location	NA	on fence	Climbing fence	NA	NA	40.702618	-74.016556
