Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-01	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804912	-73.943735
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-02	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804912	-73.943736
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-03	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804913	-73.943735
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-04	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804915	-73.943737
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-05	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804916	-73.943735
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-06	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804914	-73.943736
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-07	Gray	Gray	NA	Above Ground	40	NA	Climbing	Indifferent	HAWK. HAAAAAWK. All in 1 tree.	40.804917	-73.943737
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-08	Black	Black	NA	Above Ground	25	NA	Climbing	NA	Defending the tree from the HAAAAWK. The bravest.	40.804912	-73.943738
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-09	Gray	Gray	NA	Above Ground, Specific Location	6	small trees	Chasing, Climbing, Eating	Indifferent	2 were chasing each other through some short trees, others just sat	40.804701	-73.944118
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-10	Gray	Gray	NA	Above Ground, Specific Location	6	small trees	Chasing, Climbing, Eating	Indifferent	2 were chasing each other through some short trees, others just sat	40.804746	-73.94374
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-11	Gray	Gray	NA	Above Ground, Specific Location	6	small trees	Chasing, Climbing, Eating	Indifferent	2 were chasing each other through some short trees, others just sat	40.804912	-73.94408
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-12	Gray	Gray	NA	Above Ground, Specific Location	6	small trees	Chasing, Climbing, Eating	Indifferent	2 were chasing each other through some short trees, others just sat	40.804729	-73.944053
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-13	Gray	Gray	NA	Above Ground	4...3...2...1	NA	Climbing	NA	Slid down a signpost while spinning. Other squirrels flung leaves at it, cheering.	40.804713	-73.944032
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-14	Gray	Gray	NA	Above Ground	15	NA	Climbing, Eating	NA	Too far to observe human interactions	40.804613	-73.943829
UPPER MANHATTAN	A	Marcus Garvey Park	6	A-06-15	Gray	Gray	NA	Above Ground	15	NA	Climbing, Eating	NA	Too far to observe human interactions	40.804564	-73.943824
